iter	RMSE
326	0.631035234
327	0.6308877739
328	0.6307213927
329	0.6305098519
330	0.6303292948
331	0.6300834487
332	0.6299000177
333	0.6297725363
334	0.6295651488
335	0.6293447145
336	0.6291851545
337	0.6289989518
338	0.6288290535
339	0.6286678671
340	0.6285448583
341	0.6284251191
342	0.6282080996
343	0.6280199882
344	0.6278161575
345	0.6276527382
346	0.6274716235
347	0.6273154059
348	0.6271024153
349	0.6269812073
350	0.6268076391
351	0.6266342632
352	0.6263994394
353	0.6263006603
354	0.6261674766
355	0.6259328507
356	0.6257735422
357	0.6256230162
358	0.6254348047
359	0.6252780429
360	0.6251737934
361	0.6250080351
362	0.6249154446
363	0.6247824125
364	0.6245948513
365	0.6243844395
366	0.6242717698
367	0.6240868233
368	0.6239479921
369	0.6237459177
370	0.6235997006
371	0.6234182479
372	0.6232588565
373	0.623035115
374	0.6228271279
375	0.6227230106
376	0.6225883952
377	0.6224925124
378	0.6224018047
379	0.622293121
380	0.6222107348
381	0.6220513001
382	0.6218976841
383	0.6217847078
384	0.6217412469
385	0.6216045101
386	0.6214998582
387	0.6213815679
388	0.6210715248
389	0.6208796591
390	0.6206786079
391	0.6204476746
392	0.6202845241
393	0.6200441441
394	0.6198844772
395	0.6197618506
396	0.6195817293
397	0.6194172856
398	0.6193184494
399	0.6190148821
400	0.6189153951
401	0.6187890685
402	0.6185203609
403	0.6183808276
404	0.6182053813
405	0.6180924235
406	0.6179458498
407	0.6178002073
408	0.6176215303
409	0.6174708758
410	0.6174374296
411	0.6173083133
412	0.6171116453
413	0.6170320024
414	0.616882613
415	0.6167296254
416	0.616623098
417	0.616415144
418	0.6162783652
419	0.6162020068
420	0.616072519
421	0.6159236115
422	0.6158295197
423	0.6156894987
424	0.6155207831
425	0.6153060762
426	0.6151734865
427	0.6150274
428	0.6148676638
429	0.6147169163
430	0.6145719276
431	0.6143524771
432	0.6142040923
433	0.6140037005
434	0.61386544
435	0.6136539129
436	0.6135056209
437	0.613404259
438	0.6132694345
439	0.6131286839
440	0.6129649982
441	0.6128714407
442	0.6127762039
443	0.612604732
444	0.6124684123
445	0.6122921517
446	0.6121789377
447	0.6120439399
448	0.6119587832
449	0.6118631721
450	0.6116977246
451	0.6114537701
452	0.6112993158
453	0.6111475983
454	0.6110302323
455	0.610915148
456	0.6107709325
457	0.6106424602
458	0.6104755411
459	0.6103156832
460	0.6101766208
461	0.6100743069
462	0.6098547731
463	0.6097742417
464	0.6096469004
465	0.6095181233
466	0.6094427889
467	0.6093525977
468	0.6092354836
469	0.609143706
470	0.6089961396
471	0.6088313232
472	0.6085754044
473	0.6085194899
474	0.6084031068
475	0.6081364224
476	0.6079586581
477	0.6079403063
478	0.607751893
479	0.6076341289
480	0.6075070696
481	0.6074147276
482	0.6072970079
483	0.607118637
484	0.6070394004
485	0.6068713965
486	0.6067531024
487	0.6066086648
488	0.6064197616
489	0.6063237873
490	0.6062411467
491	0.6061006933
492	0.6059284968
493	0.6058145237
494	0.6055927112
495	0.6054990727
496	0.6052911496
497	0.6051403681
498	0.6050388005
499	0.6048802112
500	0.604804709
501	0.604673129
502	0.6045053905
503	0.6043755172
504	0.6042841545
505	0.6041746182
506	0.6041034893
507	0.6039302408
508	0.6037832604
509	0.6036492559
510	0.6034866075
511	0.6034008128
512	0.6033198249
513	0.6032417478
514	0.6030705549
515	0.603004967
516	0.6028792863
517	0.6027331615
518	0.602582018
519	0.6024633712
520	0.6023565508
521	0.6022752868
522	0.6020235404
523	0.601875659
524	0.6017365023
525	0.6015856188
526	0.6015190106
527	0.6014419532
528	0.6013255124
529	0.6011726759
530	0.6010592442
531	0.6008666219
532	0.6007127514
533	0.6005949934
534	0.6004550731
535	0.6002984522
536	0.6002593123
537	0.6001589773
538	0.6000492598
539	0.5999121381
540	0.5997895931
541	0.5996439817
542	0.5995132637
543	0.5993572682
544	0.5992191432
545	0.5991626212
546	0.5990373577
547	0.598885189
548	0.5986744524
549	0.5986040952
550	0.5984877934
551	0.5983459436
552	0.5981709936
553	0.5980111633
554	0.5978514981
555	0.5977031632
556	0.5975162216
557	0.5973808509
558	0.5972694756
559	0.597239041
560	0.597132789
561	0.597003343
562	0.5968917022
563	0.5967772678
564	0.596675734
565	0.5965757461
566	0.59647759
567	0.5963530328
568	0.5962335133
569	0.5961177778
570	0.5960727121
571	0.5958853611
572	0.5957247901
573	0.5956559201
574	0.5955541221
575	0.5954143662
576	0.5953152969
577	0.5951619367
578	0.5949809885
579	0.5947679919
580	0.5945134922
581	0.5944288798
582	0.5943277477
583	0.594152492
584	0.5939683685
585	0.5938068748
586	0.5936712172
587	0.593552465
588	0.5935004169
589	0.5933380782
590	0.5931359741
591	0.5929841373
592	0.5928067673
593	0.592586093
594	0.5924466129
595	0.5922434525
596	0.5922003282
597	0.5921806466
598	0.5920869859
599	0.5919990022
600	0.5918298028
601	0.5917267813
602	0.591589967
603	0.5914165217
604	0.5912790767
605	0.5910909774
606	0.5909672831
607	0.5908382214
608	0.5906921536
609	0.5905954833
610	0.5904543274
611	0.5902965635
612	0.5902159335
613	0.5901331903
614	0.5900477161
615	0.5899479866
616	0.5898565031
617	0.5897493668
618	0.5896618679
619	0.5895360316
620	0.5893812174
621	0.5892952921
622	0.589162356
623	0.5890648145
624	0.5889742776
625	0.5888706542
626	0.5887251406
627	0.5885931782
628	0.5884826056
629	0.5883062216
630	0.5882260893
631	0.5881178083
632	0.5880651474
633	0.5878934156
634	0.5877796985
635	0.587642401
636	0.5875551518
637	0.5873841301
638	0.5872317396
639	0.5871132879
640	0.5869821802
641	0.5868217114
642	0.586626435
643	0.5865392918
644	0.5863661528
645	0.5863101124
646	0.5862027439
647	0.5860136761
648	0.5859217863
649	0.5859029079
650	0.5858212223
651	0.5856789882
652	0.5855317049
653	0.585411768
654	0.5852542612
655	0.5850926139
656	0.5849653978
657	0.5848709785
658	0.5847305788
659	0.5846101911
660	0.5844551284
661	0.5843432479
662	0.5842809503
663	0.5841188106
664	0.5840159221
665	0.5838570861
666	0.5837995163
667	0.5836300858
668	0.5835482658
669	0.5834567924
670	0.5833347738
671	0.5831785649
672	0.5831331754
673	0.5831111313
674	0.582956573
675	0.5828469524
676	0.5826978872
677	0.5825469718
678	0.582466468
679	0.5823256432
680	0.5821833321
681	0.5820692217
682	0.5818599332
683	0.5817878441
684	0.5816234452
685	0.5815278424
686	0.5814076095
687	0.5812946309
688	0.5811454492
689	0.5809948838
690	0.5807654329
691	0.5806793923
692	0.5805879358
693	0.5804670803
694	0.5803376314
695	0.5802501869
696	0.5800024778
697	0.5798975523
698	0.5797691349
699	0.57966213
700	0.5795770208
701	0.5794725163
702	0.5793748465
703	0.5792697507
704	0.579138037
705	0.5790478909
706	0.5789457075
707	0.5788478104
708	0.5787088793
709	0.578601115
710	0.5784761375
711	0.5783504341
712	0.5782303249
713	0.5781508668
714	0.5780050596
