iter	Passed	Remaining
245	1338	542687
246	1343	542480
247	1348	542425
248	1353	542382
249	1359	542316
250	1364	542192
251	1369	542169
252	1375	542108
253	1379	541904
254	1385	541849
255	1390	541857
256	1396	541838
257	1401	541904
258	1406	541781
259	1412	541902
260	1418	541917
261	1423	541961
262	1428	541903
263	1434	541764
264	1438	541577
265	1444	541583
266	1449	541385
267	1455	541474
268	1460	541522
269	1466	541498
270	1471	541559
271	1477	541550
272	1481	541295
273	1486	541029
274	1492	541081
275	1497	540965
276	1502	540799
277	1507	540728
278	1512	540766
279	1517	540622
280	1523	540479
281	1527	540286
282	1533	540287
283	1538	540147
284	1543	540133
285	1549	540119
286	1554	540081
287	1559	539992
288	1565	540043
289	1570	539996
290	1575	539970
291	1581	539977
292	1586	539864
293	1591	539629
294	1596	539521
295	1601	539436
296	1606	539446
297	1613	539707
298	1618	539736
299	1623	539664
300	1629	539651
301	1634	539574
302	1640	539634
303	1645	539550
304	1650	539525
305	1656	539632
306	1661	539547
307	1666	539526
308	1672	539468
309	1677	539361
310	1682	539258
311	1687	539275
312	1693	539248
313	1698	539192
314	1703	539179
315	1708	539087
316	1714	539072
317	1719	538931
318	1724	538899
319	1730	538933
320	1735	539017
321	1740	538886
322	1745	538805
323	1751	538767
324	1756	538827
325	1762	538942
326	1767	538816
327	1773	538821
328	1778	538718
329	1783	538703
330	1788	538593
331	1793	538381
332	1798	538258
333	1804	538398
334	1809	538443
335	1815	538502
336	1820	538522
337	1826	538455
338	1834	539420
339	1841	539698
340	1847	539820
341	1852	539808
342	1857	539712
343	1862	539630
344	1867	539488
345	1873	539524
346	1878	539417
347	1883	539400
348	1888	539306
349	1894	539251
350	1898	539074
351	1904	539029
352	1909	538923
353	1914	538810
354	1919	538654
355	1924	538570
356	1929	538508
357	1934	538445
358	1939	538399
359	1945	538357
360	1950	538327
361	1956	538475
362	1961	538381
363	1966	538241
364	1971	538245
365	1976	538175
366	1982	538284
367	1988	538296
368	1993	538256
369	1998	538187
370	2005	538439
371	2011	538600
372	2016	538520
373	2022	538627
374	2028	538900
375	2033	538889
376	2039	538921
377	2044	538880
378	2050	538934
379	2055	538929
380	2061	538889
381	2066	538968
382	2072	539073
383	2078	539187
384	2083	539116
385	2088	539037
386	2093	538987
387	2099	538977
388	2104	538836
389	2109	538692
390	2114	538623
391	2119	538605
392	2125	538607
393	2130	538692
394	2135	538601
395	2140	538462
396	2146	538529
397	2151	538426
398	2156	538366
399	2161	538308
400	2167	538255
401	2172	538225
402	2177	538113
403	2182	537975
404	2187	538002
405	2192	537869
406	2198	537856
407	2203	537918
408	2209	537957
409	2214	537866
410	2220	537956
411	2225	537924
412	2230	537858
413	2235	537845
414	2241	537824
415	2246	537818
416	2252	537832
417	2257	537732
418	2262	537635
419	2267	537566
420	2272	537524
421	2277	537451
422	2283	537448
423	2288	537385
424	2293	537339
425	2298	537196
